loan_id,loan_amount,loan_term,credit_score,income,employment_status,purpose_loan,property_ownership,approval_status
9796E5959,191,9,2,4480,Self-employed,Debt Consolidation,Mortgaged,0
19C6D1852,466,1,3,5001,Unemployed,Small Business Funding,Mortgaged,1
1613CA2A1,554,1,1,3186,Employed,Education,Owned,1
9C766C6F2,527,4,4,9089,Employed,Home Improvement,Owned,1
78A3B72A3,608,4,4,9207,Employed,Debt Consolidation,Rented,1
9C4302703,875,2,4,8909,Employed,Small Business Funding,Rented,0
BB75123AD,134,9,1,6087,Unemployed,Small Business Funding,Mortgaged,1
5CD24DEB9,305,9,2,7003,Unemployed,Investment,Rented,0
C9DA4E37C,180,2,1,8228,Employed,Debt Consolidation,Mortgaged,0
7CE99A77D,661,9,2,4831,Unemployed,Debt Consolidation,Rented,0
A21761D3F,971,6,3,5661,Employed,Education,Owned,0
FB0E36B60,487,8,3,3748,Unemployed,Home Improvement,Owned,1
20A3AB256,101,10,2,4863,Self-employed,Education,Owned,1
094EA9775,489,4,3,9934,Unemployed,Education,Owned,1
902E8FA02,665,2,3,3114,Employed,Education,Mortgaged,1
13DD7879E,205,2,4,7603,Self-employed,Home Improvement,Owned,0
FA038271A,871,9,4,9552,Employed,Education,Owned,0
A262CCE1C,921,1,1,5264,Self-employed,Debt Consolidation,Owned,1
BBF3A8AC5,576,7,1,7372,Self-employed,Home Improvement,Owned,1
6767E831F,802,11,1,7909,Unemployed,Small Business Funding,Rented,1
B98FCAE76,501,3,4,7774,Unemployed,Investment,Mortgaged,1
7496CD887,829,3,1,7363,Self-employed,Investment,Mortgaged,1
CBB85A794,655,2,1,9891,Self-employed,Debt Consolidation,Rented,1
97A0E503D,261,10,4,8850,Self-employed,Investment,Rented,1
E2BCD7379,301,6,2,8413,Employed,Investment,Mortgaged,1
CEFF060DA,369,10,4,8984,Unemployed,Investment,Mortgaged,1
B01F3C922,962,2,2,5090,Employed,Small Business Funding,Rented,1
4FC40FC20,915,10,4,3063,Unemployed,Investment,Owned,1
A4A9E91E6,370,4,1,7729,Employed,Education,Mortgaged,0
50FFE1862,555,10,3,8659,Unemployed,Debt Consolidation,Rented,1
73DAE6C67,561,9,3,7152,Self-employed,Debt Consolidation,Owned,1
B5AB1E9B1,826,9,2,9978,Self-employed,Debt Consolidation,Owned,0
5132C44BC,351,6,2,5748,Unemployed,Small Business Funding,Rented,1
0C451B1F7,801,4,2,6545,Self-employed,Small Business Funding,Mortgaged,1
B0FA838CF,395,7,3,9706,Self-employed,Investment,Mortgaged,1
7F11D1BE2,824,1,2,4732,Employed,Education,Owned,1
AE6948862,819,4,4,3872,Unemployed,Investment,Rented,1
CB6DC1D2A,848,5,4,6720,Self-employed,Debt Consolidation,Owned,1
2AC91638C,437,8,3,3969,Unemployed,Education,Owned,1
CB5EAE221,978,2,4,2884,Employed,Debt Consolidation,Owned,1
34C187BDA,152,5,2,5963,Unemployed,Education,Rented,1
CA0A7B849,891,6,3,5678,Employed,Home Improvement,Mortgaged,1
8F7BA3987,316,5,2,2318,Employed,Small Business Funding,Owned,1
09EEB32DC,863,9,4,5816,Employed,Small Business Funding,Mortgaged,1
4B2FD4BF8,287,10,2,5717,Self-employed,Debt Consolidation,Mortgaged,1
BD647095E,479,1,3,5195,Employed,Debt Consolidation,Rented,1
486D2A99A,592,3,2,7491,Unemployed,Home Improvement,Mortgaged,1
2AAD78D0B,140,2,4,3374,Unemployed,Investment,Mortgaged,1
081E9E468,256,3,1,7442,Self-employed,Education,Owned,1
7E19A30BF,114,10,3,2487,Self-employed,Home Improvement,Rented,1
1CDDD1DC1,912,9,2,2450,Employed,Home Improvement,Rented,0
B5183F6EA,164,9,3,2352,Employed,Debt Consolidation,Owned,1
64ED853DE,956,10,2,7235,Employed,Debt Consolidation,Owned,1
2418B2E2A,938,2,1,9098,Self-employed,Investment,Mortgaged,1
BD2F2837A,620,3,4,9180,Self-employed,Investment,Mortgaged,1
BED4206E6,443,4,2,3940,Unemployed,Debt Consolidation,Rented,1
B5B2E4140,228,9,2,4367,Employed,Small Business Funding,Rented,0
85205C6FC,747,3,1,5236,Employed,Investment,Mortgaged,1
F8B5DAC14,571,7,3,9887,Unemployed,Home Improvement,Owned,0
B8D31096C,162,3,4,8228,Unemployed,Debt Consolidation,Rented,1
DDD9C18E9,238,7,2,2247,Unemployed,Education,Owned,1
441D34061,598,7,2,5503,Unemployed,Education,Mortgaged,0
2D79C5C68,692,9,4,2567,Employed,Small Business Funding,Rented,1
0E6EE7AB8,491,2,1,2683,Self-employed,Debt Consolidation,Rented,1
12AE55D54,774,6,3,9820,Employed,Home Improvement,Mortgaged,1
5193B6F11,518,9,4,2643,Unemployed,Small Business Funding,Mortgaged,0
05DE51CCD,388,2,3,2478,Self-employed,Home Improvement,Owned,1
D2E108DC0,478,2,1,4760,Employed,Education,Owned,1
1C42E52FD,872,5,1,6463,Unemployed,Home Improvement,Mortgaged,1
9624B72D0,589,10,4,9968,Self-employed,Education,Mortgaged,1
B7E3C52AB,330,10,2,7940,Self-employed,Investment,Mortgaged,1
7A3DAA33C,140,10,1,6452,Self-employed,Education,Rented,1
9BEDA9325,127,8,1,8551,Employed,Education,Mortgaged,1
119FA3A7D,234,11,4,3368,Unemployed,Small Business Funding,Rented,0
BEE516B9F,300,9,4,4226,Employed,Small Business Funding,Mortgaged,1
7EA971BD7,939,2,4,5496,Employed,Debt Consolidation,Rented,0
2337D1E9A,879,5,1,5612,Employed,Debt Consolidation,Owned,1
073C54A46,132,7,3,7562,Self-employed,Education,Owned,1
BB0D22452,147,6,1,6007,Unemployed,Investment,Rented,0
1F5901527,602,6,4,3842,Employed,Debt Consolidation,Owned,1
9C72B9110,506,7,2,5377,Unemployed,Education,Owned,1
5F28E512D,673,3,2,4414,Self-employed,Small Business Funding,Rented,1
7BCB91560,827,3,4,3059,Employed,Debt Consolidation,Mortgaged,1
55D87E0F9,904,10,2,8606,Unemployed,Debt Consolidation,Mortgaged,0
E3B1AE209,198,9,1,3644,Self-employed,Education,Rented,1
D4FD582ED,783,8,3,6923,Employed,Education,Owned,0
EFABA22CE,971,5,1,7265,Employed,Home Improvement,Mortgaged,0
F5DA77420,825,6,4,3811,Unemployed,Home Improvement,Mortgaged,1
0BE1D9148,646,11,1,8020,Unemployed,Investment,Owned,0
EEE8643B9,838,10,2,4193,Employed,Debt Consolidation,Rented,1
3D6CD3932,712,1,1,4427,Employed,Home Improvement,Rented,1
5390E9552,561,10,3,2167,Self-employed,Education,Mortgaged,0
60570094E,742,1,2,9936,Self-employed,Debt Consolidation,Rented,1
2B898507C,868,4,3,9442,Employed,Home Improvement,Owned,1
A194122A4,104,2,3,6182,Unemployed,Investment,Rented,1
706E53B76,317,11,3,2153,Unemployed,Investment,Rented,1
4CBFA1288,602,7,1,4544,Employed,Investment,Rented,1
B0057106C,866,2,1,5868,Self-employed,Investment,Rented,1
AE2708BC8,497,10,1,2314,Employed,Education,Owned,1
24EA99BE4,970,2,1,7950,Unemployed,Investment,Rented,0
4FC38E6DD,894,5,2,9777,Employed,Small Business Funding,Mortgaged,1
180621F30,492,4,1,2722,Employed,Investment,Rented,1
4728B0BAC,306,8,2,8077,Self-employed,Home Improvement,Mortgaged,1
53681BFD4,114,4,3,5631,Unemployed,Debt Consolidation,Owned,0
85001DA06,957,6,2,7949,Unemployed,Home Improvement,Rented,1
F09ED506D,653,5,4,5345,Employed,Debt Consolidation,Mortgaged,0
8CE61667B,991,11,1,7825,Unemployed,Education,Rented,1
315DD99E6,560,2,4,4811,Unemployed,Debt Consolidation,Rented,1
0DF1BB821,790,11,2,9962,Unemployed,Small Business Funding,Mortgaged,1
B4A53B453,674,8,1,4309,Unemployed,Investment,Owned,1
A77FFE785,963,2,4,8630,Self-employed,Home Improvement,Owned,1
8BD155DF5,842,9,1,4501,Self-employed,Debt Consolidation,Owned,1
529626D46,340,9,2,8586,Self-employed,Home Improvement,Owned,1
4572FB531,663,3,4,5333,Self-employed,Investment,Owned,0
0372EE6AF,195,4,2,8686,Self-employed,Education,Owned,0
D494C6F12,999,8,4,7224,Unemployed,Investment,Rented,1
BC1567828,833,9,3,4023,Employed,Education,Rented,0
05D4E06AB,584,3,3,2349,Employed,Home Improvement,Mortgaged,1
489FCE9C1,506,5,3,2823,Self-employed,Education,Owned,1
461FAF2C9,330,11,3,2437,Unemployed,Education,Owned,1
499A86B44,848,8,3,8100,Self-employed,Education,Owned,1
33B53C3F8,754,3,2,2168,Employed,Education,Mortgaged,0
1B9D61C62,270,7,3,5819,Unemployed,Education,Rented,1
41FCF8B5A,640,11,2,9953,Unemployed,Debt Consolidation,Rented,1
297018CEB,135,8,3,5414,Unemployed,Education,Owned,1
ACFA47B07,624,10,1,5301,Employed,Education,Rented,1
FB3004F0B,259,11,3,6118,Employed,Investment,Rented,1
DF456AA98,938,3,1,5035,Self-employed,Investment,Rented,1
27100A031,798,2,2,8819,Self-employed,Investment,Owned,1
BEC670E5F,342,10,3,6376,Employed,Education,Rented,0
65A5FB865,185,7,4,5590,Self-employed,Investment,Rented,1
23FEB177F,895,9,2,4769,Employed,Debt Consolidation,Mortgaged,1
A257C85C8,677,1,3,4300,Unemployed,Home Improvement,Owned,1
3B9FAFC7F,781,3,2,6499,Self-employed,Investment,Rented,1
B5C281D28,656,5,4,4180,Employed,Investment,Owned,1
F80354785,673,3,3,5345,Employed,Debt Consolidation,Rented,0
CEBD07F71,745,1,4,4665,Employed,Small Business Funding,Owned,0
A84BE3171,895,7,3,2231,Self-employed,Small Business Funding,Rented,0
E893B7D82,127,7,1,4592,Self-employed,Debt Consolidation,Rented,1
8E24F41EE,719,10,2,6174,Unemployed,Investment,Mortgaged,1
A89111041,655,8,4,3058,Self-employed,Home Improvement,Owned,0
EC337DFD8,439,5,2,4542,Self-employed,Investment,Rented,0
8300E9AB1,897,10,4,3133,Self-employed,Debt Consolidation,Mortgaged,1
E9C911715,430,5,2,7440,Unemployed,Debt Consolidation,Mortgaged,0
7ED03FD1D,739,5,2,5646,Unemployed,Education,Owned,0
89CD02DDB,605,1,2,4375,Unemployed,Debt Consolidation,Owned,1
4050A5DC6,447,10,1,9110,Self-employed,Education,Mortgaged,1
1B5287B6C,572,5,3,5880,Employed,Debt Consolidation,Owned,1
D75B6D6C4,330,6,1,4737,Self-employed,Education,Owned,0
1B78FA2EE,289,1,2,4431,Unemployed,Education,Owned,1
EA299BE1F,324,11,4,3387,Self-employed,Investment,Rented,1
6A8EB6E07,484,7,2,5303,Self-employed,Education,Owned,1
A7301A6C2,476,1,3,7735,Employed,Small Business Funding,Owned,1
02BB3E9E7,382,11,1,3437,Employed,Debt Consolidation,Mortgaged,1
1FF44C4A8,732,2,3,5365,Self-employed,Home Improvement,Mortgaged,1
2514A0D3E,727,2,4,6642,Unemployed,Debt Consolidation,Mortgaged,0
D9E4B73F3,844,5,3,3729,Self-employed,Investment,Owned,0
D0F29F0B8,358,10,1,9341,Self-employed,Investment,Owned,0
FCA9D2E5A,458,7,4,4439,Self-employed,Education,Mortgaged,1
9495C2300,809,1,3,5173,Unemployed,Investment,Mortgaged,1
F67066E11,555,10,1,5907,Unemployed,Investment,Rented,0
70C5A69A9,510,1,1,3316,Unemployed,Debt Consolidation,Rented,1
E80EFBBF7,748,1,2,7204,Unemployed,Small Business Funding,Rented,1
5CF4B3A3C,417,6,3,7004,Unemployed,Small Business Funding,Owned,1
8CA824B1B,776,2,4,7320,Self-employed,Education,Owned,1
CB4379B5F,324,1,2,2684,Unemployed,Investment,Mortgaged,1
37C006A15,918,6,3,4588,Self-employed,Investment,Rented,1
CC07F42CB,333,2,3,8440,Self-employed,Small Business Funding,Owned,0
56EB37472,783,6,4,8199,Self-employed,Education,Rented,1
3562B331E,763,10,2,5543,Employed,Investment,Rented,0
46C9E7713,926,8,2,5087,Unemployed,Education,Owned,1
156B56396,473,2,4,3675,Unemployed,Debt Consolidation,Rented,1
347C31048,771,11,2,4113,Self-employed,Investment,Mortgaged,1
036C24408,707,9,1,2957,Employed,Investment,Mortgaged,0
C455CA7E2,571,8,4,7778,Unemployed,Investment,Owned,0
5C3D26E0F,332,10,3,9837,Self-employed,Small Business Funding,Rented,1
EA2C2B740,791,1,4,5543,Employed,Small Business Funding,Mortgaged,1
B35E0944D,212,7,1,8028,Self-employed,Investment,Rented,1
AFF0EA438,929,10,4,7700,Employed,Investment,Mortgaged,0
90FC1F3F6,596,6,3,5094,Self-employed,Debt Consolidation,Mortgaged,1
F5F9BBB0F,541,6,3,6797,Unemployed,Debt Consolidation,Rented,0
8668ABE7C,663,6,4,4807,Self-employed,Education,Owned,1
66BDAADD2,367,6,4,8629,Self-employed,Education,Owned,1
6CC00848B,609,10,1,9582,Employed,Small Business Funding,Owned,1
1FD7466AE,906,7,1,2820,Employed,Home Improvement,Rented,0
328BD8DC5,485,3,3,2887,Unemployed,Debt Consolidation,Rented,1
4EC526249,486,6,2,5728,Self-employed,Education,Rented,1
FB7FE0E52,212,3,2,8015,Employed,Debt Consolidation,Owned,0
AB6E31F4D,712,7,2,7424,Unemployed,Debt Consolidation,Rented,1
918F3D989,724,7,2,8320,Unemployed,Home Improvement,Owned,1
8F026F557,180,8,3,8338,Employed,Debt Consolidation,Mortgaged,1
5BED87A3A,798,2,2,5993,Employed,Home Improvement,Owned,1
CA23BADBB,212,9,2,5084,Self-employed,Home Improvement,Owned,1
5A02B6441,101,5,4,2875,Unemployed,Debt Consolidation,Owned,0
913637716,741,9,2,6261,Employed,Debt Consolidation,Rented,1
BF34ED381,319,10,4,7269,Unemployed,Education,Owned,1
5BAB2E25E,665,5,3,9508,Self-employed,Debt Consolidation,Mortgaged,0
B84E74D02,954,7,4,5996,Employed,Debt Consolidation,Mortgaged,0
B47D5F9C6,835,11,1,2556,Unemployed,Debt Consolidation,Mortgaged,0
164628A27,324,9,4,7293,Employed,Education,Mortgaged,0
3A7ED7C45,484,4,2,4214,Self-employed,Home Improvement,Mortgaged,0
23AD836BE,502,2,4,2708,Self-employed,Education,Mortgaged,0
C5ACA2B24,737,9,4,2717,Self-employed,Debt Consolidation,Owned,0
8FB10682D,229,2,3,5665,Self-employed,Investment,Rented,0
D820570F4,152,3,3,7699,Employed,Debt Consolidation,Rented,1
B636B5CC6,783,10,2,4144,Employed,Education,Mortgaged,1
51D3255ED,829,2,1,8822,Unemployed,Education,Owned,0
1DC04C02A,771,3,1,8547,Unemployed,Small Business Funding,Mortgaged,1
9A6BC6D41,809,6,4,7196,Employed,Investment,Mortgaged,0
0BE90AD8B,515,3,1,4019,Employed,Education,Mortgaged,1
E8D160A8B,346,10,3,7356,Unemployed,Home Improvement,Mortgaged,0
0E60E3BDD,935,8,2,5779,Employed,Debt Consolidation,Rented,1
739942D5D,538,11,2,2290,Self-employed,Home Improvement,Rented,1
6F720FB68,302,6,3,4183,Self-employed,Education,Owned,0
DA3C95BD9,283,7,2,9987,Self-employed,Education,Owned,1
314FF3C38,222,1,4,5879,Unemployed,Home Improvement,Mortgaged,1
0616BE16F,500,3,2,4936,Employed,Home Improvement,Rented,1
0BA301565,866,3,1,9024,Unemployed,Small Business Funding,Mortgaged,1
3197A1114,393,2,2,4414,Unemployed,Debt Consolidation,Rented,1
BFA0F3EAE,379,7,2,8691,Employed,Home Improvement,Rented,1
6F729801E,936,9,3,9045,Unemployed,Debt Consolidation,Owned,0
DB9A1BCDD,983,4,3,4295,Self-employed,Investment,Owned,1
5AEFDE1DF,709,5,1,4813,Employed,Education,Rented,1
5FAB4D15B,297,3,3,3237,Self-employed,Home Improvement,Owned,0
1BBFF4666,610,11,1,9931,Self-employed,Investment,Mortgaged,1
C6A9B6AA0,851,9,4,4117,Employed,Education,Rented,1
62799E0DC,243,4,1,6841,Self-employed,Small Business Funding,Rented,1
3C985354B,708,5,2,5043,Self-employed,Education,Rented,1
8FA298ED6,300,1,1,8472,Self-employed,Home Improvement,Mortgaged,1
4321C2E3D,223,11,4,5087,Employed,Investment,Rented,0
551AD04AA,286,2,2,5558,Employed,Investment,Owned,1
DED152991,425,9,1,7293,Employed,Investment,Mortgaged,1
98945A673,563,2,3,2698,Unemployed,Education,Rented,1
020A92FEE,448,5,3,4853,Self-employed,Debt Consolidation,Mortgaged,1
BC9D54205,870,8,3,5808,Unemployed,Debt Consolidation,Mortgaged,1
FC8B48DB8,759,3,1,8417,Unemployed,Education,Owned,1
3995F67FA,863,6,1,6619,Self-employed,Home Improvement,Owned,1
0E0DDCCA9,502,4,4,3845,Employed,Education,Owned,1
210288F0D,445,11,2,8362,Unemployed,Debt Consolidation,Rented,0
D81DF68B8,610,7,2,7119,Employed,Education,Rented,1
E65AAF205,246,10,2,6014,Employed,Investment,Owned,0
EA8B78E0F,247,3,2,8656,Self-employed,Home Improvement,Owned,1
D9393FABA,963,6,1,9566,Unemployed,Home Improvement,Rented,1
85A2558C2,810,10,1,5182,Unemployed,Small Business Funding,Owned,1
F9A263963,919,9,4,8106,Employed,Education,Mortgaged,0
15B2B4F91,588,11,2,2463,Self-employed,Investment,Mortgaged,1
61F3F1219,739,10,1,5860,Unemployed,Education,Mortgaged,1
6639906B7,650,1,1,7760,Employed,Small Business Funding,Rented,0
FF8858B45,437,3,1,9260,Employed,Small Business Funding,Owned,0
2A91952E2,971,2,1,2450,Employed,Education,Mortgaged,1
DA5FF5D03,740,8,2,7515,Self-employed,Education,Rented,1
135E69073,878,7,2,3915,Self-employed,Education,Owned,1
E4E21B165,572,2,1,2923,Employed,Debt Consolidation,Owned,1
DCBF16DFC,250,6,3,5622,Employed,Small Business Funding,Mortgaged,1
EA1795CA8,514,3,4,9076,Self-employed,Home Improvement,Owned,0
7851A4BEE,397,8,2,8622,Employed,Debt Consolidation,Owned,1
CAEC8B850,710,10,2,2315,Employed,Investment,Mortgaged,1
E29440ACD,362,3,3,6766,Self-employed,Home Improvement,Mortgaged,1
1EF6D726E,863,10,2,6793,Employed,Home Improvement,Owned,1
F1DA90F22,243,9,3,7088,Employed,Home Improvement,Rented,1
27152B15C,445,1,3,3376,Employed,Small Business Funding,Rented,1
3DA34898D,723,5,1,4815,Self-employed,Investment,Mortgaged,1
52BDF388A,671,3,2,3262,Self-employed,Debt Consolidation,Owned,0
61FA715AD,980,6,4,3127,Self-employed,Investment,Mortgaged,1
DEC920505,101,10,3,7002,Unemployed,Debt Consolidation,Rented,1
D24C4C131,996,2,4,4925,Unemployed,Small Business Funding,Rented,1
99B2E7066,403,9,1,3052,Unemployed,Investment,Owned,0
807A98407,353,6,2,6184,Unemployed,Home Improvement,Mortgaged,0
8EF85D4AA,751,7,1,4422,Self-employed,Investment,Mortgaged,1
9CCDA5E51,552,5,1,5468,Employed,Small Business Funding,Rented,1
96BB92233,136,9,4,7682,Self-employed,Small Business Funding,Mortgaged,1
6F82A3FBF,259,1,4,6459,Unemployed,Small Business Funding,Mortgaged,1
C99DFA8B7,108,5,3,6021,Self-employed,Debt Consolidation,Mortgaged,0
089A715BC,332,11,2,8290,Employed,Investment,Owned,1
7FD5C5E89,198,10,1,6409,Unemployed,Home Improvement,Rented,1
7551A1AC5,758,11,3,2547,Employed,Home Improvement,Mortgaged,1
9C9B778C9,915,6,3,6891,Employed,Education,Owned,1
97A139B2E,307,7,1,5523,Employed,Small Business Funding,Mortgaged,0
F74C74F7B,230,4,1,9042,Unemployed,Home Improvement,Mortgaged,1
C30D69DE8,503,1,3,3529,Self-employed,Small Business Funding,Rented,1
71942F75F,251,11,1,7605,Unemployed,Home Improvement,Owned,1
E6279522C,153,8,1,8244,Unemployed,Investment,Mortgaged,1
C39FADFCE,219,10,4,2106,Self-employed,Education,Rented,1
61185FE84,772,4,2,2856,Self-employed,Small Business Funding,Owned,1
3FB0C75BE,727,3,3,4984,Self-employed,Debt Consolidation,Mortgaged,1
AE6F368A7,686,7,1,6386,Self-employed,Debt Consolidation,Rented,0
1BC3F92B1,724,2,3,7468,Employed,Home Improvement,Mortgaged,1
36D7F107F,519,8,2,6712,Unemployed,Investment,Mortgaged,1
8F8BEBA24,521,6,3,7852,Unemployed,Small Business Funding,Owned,0
D7DEEE7EA,203,7,3,8731,Unemployed,Education,Rented,0
7931D8B26,951,5,3,3250,Self-employed,Investment,Owned,0
A1479AF58,353,9,4,8739,Unemployed,Home Improvement,Mortgaged,1
EF0416B30,326,5,2,7072,Employed,Investment,Rented,1
35274D2A0,211,11,2,8132,Unemployed,Education,Mortgaged,1
2AAB189C8,609,5,3,3611,Unemployed,Investment,Mortgaged,1
725B28A56,572,3,3,9928,Employed,Small Business Funding,Mortgaged,0
4574FBC62,198,11,2,3790,Employed,Home Improvement,Rented,1
28760A3B0,252,1,1,9217,Unemployed,Education,Mortgaged,0
E3417108C,960,2,4,2867,Self-employed,Home Improvement,Rented,1
70D557B5D,995,8,2,9113,Self-employed,Small Business Funding,Mortgaged,1
55F759949,977,1,3,4769,Unemployed,Education,Owned,1
5F7B4E788,437,7,1,6253,Unemployed,Education,Rented,1
F94882648,805,5,1,2327,Unemployed,Home Improvement,Mortgaged,0
D19E406C6,921,3,1,5816,Unemployed,Investment,Owned,1
8D065AB2E,262,11,4,5148,Self-employed,Investment,Rented,1
C2D08FC07,819,7,4,8878,Unemployed,Debt Consolidation,Owned,0
189B10239,780,9,2,8776,Employed,Debt Consolidation,Mortgaged,0
C90D135C7,260,2,2,7573,Self-employed,Education,Owned,0
3B92829AD,679,8,2,5381,Self-employed,Home Improvement,Mortgaged,1
7AAE9183A,900,9,2,4374,Employed,Education,Mortgaged,0
3694DA6C0,497,11,3,4555,Unemployed,Home Improvement,Rented,0
C4A77EDDE,376,3,4,6965,Unemployed,Small Business Funding,Mortgaged,1
02907127B,915,2,1,3130,Unemployed,Debt Consolidation,Mortgaged,1
FC364DF3D,603,7,3,6336,Unemployed,Education,Rented,0
20B8AF8D8,995,5,2,4482,Unemployed,Small Business Funding,Rented,0
35B9DB755,491,5,2,5099,Employed,Investment,Mortgaged,0
D96A9E095,234,10,3,4751,Unemployed,Debt Consolidation,Mortgaged,1
412659473,294,5,1,5320,Employed,Home Improvement,Rented,1
CF4959F68,500,4,4,7483,Employed,Investment,Rented,1
CDE2794BD,739,5,4,7844,Employed,Investment,Owned,1
DD4B030FD,132,4,1,3556,Unemployed,Small Business Funding,Owned,1
CF5744756,787,6,4,5543,Unemployed,Education,Owned,1
640610F13,559,4,2,7786,Self-employed,Education,Rented,1
EB216787A,982,2,2,7658,Self-employed,Small Business Funding,Rented,1
A8C065315,569,9,2,8732,Employed,Investment,Rented,1
AD1167031,474,2,2,9985,Self-employed,Debt Consolidation,Owned,1
72786625F,121,9,1,6508,Employed,Investment,Mortgaged,1
8377639B3,849,10,4,8054,Self-employed,Small Business Funding,Mortgaged,1
5157E1FE8,769,6,4,2568,Unemployed,Investment,Mortgaged,0
